months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_annual_premium,insured_education_level,insured_sex,insured_occupation,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,property_damage,police_report_available,fraud_reported
62,1000,0,0,0,3,1,1,1,6020,6020,48160,988.45,Masters,FEMALE,protective-serv,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,?,YES,Y
289,2000,0,0,0,16,1,1,1,1230,820,3280,1222.48,JD,FEMALE,priv-house-serv,unmarried,Parked Car,?,Minor Damage,None,NO,YES,N
431,2000,0,65700,0,4,3,2,0,12460,6230,43610,1155.55,MD,FEMALE,craft-repair,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Police,?,?,N
199,500,0,48500,0,4,1,0,3,10940,10940,38290,1262.08,JD,MALE,tech-support,wife,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,?,NO,Y
79,500,0,0,-55700,19,1,2,2,8000,4000,28000,1451.62,Associate,MALE,tech-support,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NO,?,N
116,500,0,0,-24100,1,1,1,1,16180,16180,64720,1737.66,Associate,MALE,transport-moving,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Police,?,?,Y
37,500,0,0,-67400,17,3,1,0,5740,5740,40180,1475.93,College,FEMALE,prof-specialty,husband,Multi-vehicle Collision,Side Collision,Minor Damage,Other,YES,NO,N
106,500,0,49700,-60200,23,1,2,2,5680,5680,39760,538.17,PhD,FEMALE,transport-moving,own-child,Single Vehicle Collision,Rear Collision,Total Loss,Other,NO,NO,N
269,2000,0,36400,-28700,14,1,0,2,11280,11280,33840,1081.08,JD,MALE,priv-house-serv,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Other,YES,?,N
265,1000,0,0,0,17,3,2,3,6890,0,48230,1454.43,MD,FEMALE,protective-serv,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NO,?,N
163,500,0,35300,0,11,3,1,1,0,14020,63090,1240.47,Associate,FEMALE,other-service,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,YES,?,N
355,2000,4000000,0,0,19,3,2,1,6280,6280,50240,1273.7,College,MALE,other-service,husband,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NO,NO,Y
175,1000,8000000,0,0,5,1,2,0,810,810,5670,1123.87,PhD,FEMALE,protective-serv,other-relative,Vehicle Theft,?,Trivial Damage,Police,?,YES,N
192,1000,0,0,-40300,19,1,0,0,15320,7660,53620,1245.89,Masters,FEMALE,exec-managerial,wife,Single Vehicle Collision,Rear Collision,Total Loss,Other,NO,?,N
430,2000,7000000,0,0,19,3,0,3,16360,8180,57260,1326.62,MD,MALE,other-service,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,?,YES,N
91,2000,0,0,0,4,1,1,2,1320,660,5280,1073.83,JD,FEMALE,farming-fishing,husband,Vehicle Theft,?,Trivial Damage,None,?,?,N
217,1000,0,0,0,8,1,2,1,430,430,3440,1530.52,College,MALE,armed-forces,not-in-family,Vehicle Theft,?,Minor Damage,None,?,YES,N
223,500,0,88400,-46500,7,3,1,0,12820,12820,44870,1201.41,JD,FEMALE,priv-house-serv,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,YES,?,N
195,1000,0,47600,-39600,5,1,0,1,480,480,1680,1393.57,PhD,MALE,machine-op-inspct,not-in-family,Parked Car,?,Minor Damage,Police,NO,YES,N
22,1000,0,71500,0,3,1,1,2,15780,7890,55230,1276.57,PhD,MALE,craft-repair,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,YES,NO,N
439,500,0,36100,-55000,12,3,2,3,0,6270,50160,1082.49,PhD,FEMALE,prof-specialty,unmarried,Multi-vehicle Collision,Front Collision,Major Damage,Fire,?,?,N
94,1000,0,0,0,19,1,1,3,300,300,1800,1414.74,Masters,FEMALE,adm-clerical,own-child,Parked Car,?,Minor Damage,None,NO,NO,N
11,2000,0,56600,-45800,22,1,0,1,7310,7310,51170,1470.06,PhD,MALE,other-service,husband,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,YES,NO,N
151,2000,0,94800,-58500,12,3,1,1,11440,5720,45760,870.63,MD,FEMALE,adm-clerical,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NO,NO,N
154,500,0,36900,0,15,3,2,1,15440,0,54040,795.23,PhD,MALE,machine-op-inspct,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,YES,?,Y
245,1000,0,69100,0,23,3,0,3,7380,3690,33210,1168.2,JD,MALE,handlers-cleaners,husband,Multi-vehicle Collision,Side Collision,Total Loss,Other,NO,NO,N
119,1000,0,0,-49500,12,1,0,3,5630,11260,39410,993.51,High School,MALE,armed-forces,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Other,NO,YES,N
215,500,0,0,-49000,20,3,2,2,11420,5710,51390,1848.81,JD,MALE,transport-moving,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,YES,YES,Y
295,2000,5000000,62400,0,16,3,0,0,6570,6570,45990,1641.73,PhD,MALE,sales,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NO,NO,Y
254,500,0,35700,0,6,3,2,2,13720,6860,61740,1362.87,MD,FEMALE,exec-managerial,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,YES,NO,Y
107,500,7000000,43400,-91200,12,1,0,1,13800,13800,62100,1239.22,High School,FEMALE,tech-support,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,YES,NO,Y
478,500,0,59600,0,17,3,1,1,0,3770,30160,835.02,Associate,FEMALE,adm-clerical,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NO,NO,N
128,1000,0,43300,-66200,8,1,0,3,12460,6230,49840,1061.33,MD,MALE,machine-op-inspct,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NO,NO,N
338,1000,0,0,-51500,13,1,0,1,860,860,2580,1279.08,MD,MALE,other-service,own-child,Parked Car,?,Minor Damage,None,NO,?,N
271,500,0,56200,-50000,12,2,2,3,12420,6210,49680,1105.49,Associate,FEMALE,prof-specialty,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,?,?,Y
222,2000,0,37800,-50300,7,1,0,2,6810,6810,47670,1055.53,MD,FEMALE,armed-forces,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Other,NO,NO,Y
199,1000,0,0,0,10,1,1,2,3010,0,27090,895.83,Associate,FEMALE,sales,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NO,NO,N
215,500,0,0,-42900,7,3,2,0,9520,4760,42840,1632.93,College,FEMALE,transport-moving,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NO,YES,N
192,1000,0,0,0,18,3,1,0,9540,4770,28620,1405.99,Associate,FEMALE,sales,wife,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,YES,YES,N
120,1000,0,78300,0,22,3,2,0,11380,5690,34140,1425.54,High School,FEMALE,transport-moving,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NO,NO,N
270,1000,0,0,-19700,18,3,1,1,14900,7450,67050,1038.09,College,FEMALE,handlers-cleaners,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NO,YES,N
319,500,0,0,0,22,3,0,2,10860,10860,38010,1307.11,College,MALE,transport-moving,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,NO,?,N
194,1000,6000000,0,-45000,15,1,2,2,1240,1240,5580,1489.24,JD,FEMALE,other-service,wife,Vehicle Theft,?,Minor Damage,None,YES,YES,N
227,500,0,0,0,16,1,1,2,14440,7220,50540,976.67,PhD,FEMALE,handlers-cleaners,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Fire,?,?,Y
137,2000,0,52700,-40600,6,3,1,2,10160,10160,30480,1340.43,High School,MALE,exec-managerial,husband,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NO,NO,N
244,2000,5000000,0,0,10,1,2,1,660,1320,4620,1267.81,Masters,FEMALE,exec-managerial,wife,Vehicle Theft,?,Trivial Damage,None,?,?,N
78,1000,6000000,0,0,3,1,2,2,750,1500,5250,1234.2,Masters,MALE,other-service,other-relative,Vehicle Theft,?,Minor Damage,Police,YES,NO,N
200,2000,0,57300,-80600,13,1,0,3,1180,1180,4130,1318.06,High School,MALE,exec-managerial,wife,Vehicle Theft,?,Trivial Damage,None,NO,YES,N
284,2000,0,0,-44200,16,2,2,3,5540,11080,44320,769.95,Masters,MALE,prof-specialty,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,?,NO,Y
275,2000,0,35700,0,13,3,0,1,5830,11660,40810,1514.72,High School,MALE,transport-moving,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,YES,?,N
153,1000,4000000,800,0,9,3,2,1,11400,11400,45600,873.64,Associate,FEMALE,priv-house-serv,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NO,?,N
134,500,0,36400,0,2,1,2,1,11680,11680,40880,1612.43,MD,FEMALE,other-service,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,?,YES,N
31,2000,9000000,0,-78600,9,1,0,1,940,470,3290,1318.24,College,FEMALE,prof-specialty,not-in-family,Parked Car,?,Trivial Damage,None,NO,YES,N
41,1000,0,0,-56100,12,3,2,0,0,5640,39480,1226.83,College,FEMALE,exec-managerial,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Other,YES,?,Y
127,2000,5000000,0,0,12,2,1,1,10300,10300,46350,1326.44,High School,FEMALE,sales,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,YES,?,N
61,2000,4000000,0,-62400,14,1,0,3,8940,17880,71520,1136.83,Associate,FEMALE,tech-support,own-child,Single Vehicle Collision,Side Collision,Major Damage,Police,NO,?,Y
207,2000,0,55200,0,9,1,0,1,590,590,4720,1322.78,PhD,MALE,farming-fishing,own-child,Parked Car,?,Trivial Damage,None,NO,NO,N
219,1000,0,90700,-20800,3,3,1,1,5890,11780,53010,1483.25,MD,FEMALE,exec-managerial,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NO,?,N
271,500,0,0,0,21,3,1,0,17040,8520,68160,1515.3,High School,FEMALE,machine-op-inspct,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NO,NO,N
80,2000,5000000,67700,-58400,5,1,2,0,1260,630,5040,1075.18,PhD,FEMALE,armed-forces,husband,Vehicle Theft,?,Minor Damage,None,NO,YES,N
325,1000,0,61500,0,11,1,0,3,6630,6630,59670,1690.27,Associate,FEMALE,protective-serv,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,YES,NO,Y
29,2000,0,0,-71700,4,4,1,2,7210,7210,50470,1352.83,Masters,MALE,farming-fishing,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,YES,YES,Y
295,1000,0,0,0,6,1,1,2,900,900,3600,1148.73,College,FEMALE,machine-op-inspct,wife,Parked Car,?,Trivial Damage,None,?,YES,N
239,1000,0,0,0,10,1,0,0,700,700,4200,969.5,College,MALE,exec-managerial,not-in-family,Vehicle Theft,?,Trivial Damage,None,NO,?,N
269,500,0,0,-72300,23,1,0,0,15860,15860,47580,1463.82,College,FEMALE,protective-serv,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,YES,?,N
80,1000,0,0,0,13,1,1,0,10560,5280,36960,1474.17,College,FEMALE,tech-support,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Police,YES,YES,N
279,500,0,37300,-31700,16,3,2,3,0,3600,25200,1497.35,JD,FEMALE,prof-specialty,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,?,NO,N
165,1000,0,35300,-58100,3,1,1,1,330,330,2310,1427.14,Associate,FEMALE,tech-support,other-relative,Parked Car,?,Minor Damage,Police,NO,NO,N
350,500,0,50500,0,15,3,0,0,15580,7790,70110,1495.1,College,MALE,other-service,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,NO,?,N
295,500,0,34300,-24300,4,1,1,3,480,480,3360,1141.62,College,MALE,prof-specialty,husband,Vehicle Theft,?,Minor Damage,None,YES,YES,N
464,1000,0,0,-56400,6,3,0,2,6650,19950,53200,1125.37,Associate,FEMALE,prof-specialty,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Police,?,YES,Y
118,2000,0,0,-57000,22,2,1,0,7420,14840,51940,1207.36,High School,FEMALE,handlers-cleaners,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NO,?,N
298,2000,0,28800,0,1,1,0,0,10860,10860,48870,1338.5,PhD,FEMALE,machine-op-inspct,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Fire,?,?,Y
87,1000,0,0,-47500,16,3,0,3,5540,11080,44320,1074.07,Masters,FEMALE,sales,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NO,YES,Y
261,500,0,0,0,18,1,1,2,7470,14940,52290,1337.56,College,FEMALE,prof-specialty,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,?,YES,N
453,500,6000000,52600,-38800,0,1,0,0,14000,7000,49000,1298.91,PhD,MALE,craft-repair,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Fire,YES,?,Y
210,500,0,0,-41000,12,3,2,0,14740,14740,51590,1222.75,High School,MALE,exec-managerial,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Other,?,NO,N
168,1000,0,0,-40600,13,2,1,1,14430,9620,33670,1059.52,MD,MALE,protective-serv,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,?,?,N
390,2000,0,0,0,9,1,1,1,1180,1180,4720,1124.38,Associate,MALE,armed-forces,other-relative,Vehicle Theft,?,Minor Damage,None,YES,YES,N
258,1000,10000000,34400,-56800,14,3,0,1,4770,9540,33390,1110.37,MD,MALE,machine-op-inspct,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Other,NO,?,Y
107,2000,0,62000,-63100,16,1,0,3,9320,9320,32620,1374.22,PhD,FEMALE,machine-op-inspct,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NO,NO,N
225,2000,0,41200,-36200,20,3,2,2,6400,12800,51200,1103.58,High School,MALE,exec-managerial,unmarried,Multi-vehicle Collision,Side Collision,Major Damage,Police,?,NO,Y
164,2000,0,44300,0,4,1,1,3,18000,9000,63000,1269.76,PhD,FEMALE,transport-moving,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NO,YES,N
245,500,8000000,58000,0,7,3,0,1,13240,6620,52960,964.79,Associate,FEMALE,adm-clerical,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,?,?,N
255,2000,4000000,0,0,22,1,2,0,13860,13860,41580,1167.3,High School,MALE,priv-house-serv,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NO,?,N
206,500,4000000,0,-53700,11,1,2,1,12760,12760,51040,1625.45,MD,FEMALE,other-service,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NO,NO,Y
203,500,0,0,0,7,1,0,1,0,6160,49280,1394.43,Masters,FEMALE,other-service,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,?,YES,Y
22,2000,0,51100,0,0,4,1,0,8570,17140,51420,1053.24,College,FEMALE,prof-specialty,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,YES,NO,N
211,500,0,0,0,1,1,1,1,7000,7000,28000,1040.75,JD,FEMALE,prof-specialty,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,YES,?,N
206,1000,6000000,47200,-69700,12,3,2,3,3300,9900,23100,1302.4,JD,MALE,craft-repair,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NO,YES,N
166,2000,0,59600,-32100,8,1,0,0,5760,5760,28800,1588.55,MD,MALE,protective-serv,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Other,NO,?,N
165,500,0,70500,0,9,1,2,0,330,660,2970,1399.26,High School,FEMALE,tech-support,own-child,Parked Car,?,Minor Damage,Police,?,?,N
274,2000,0,40700,-47300,22,1,0,3,10640,10640,42560,1352.31,College,MALE,farming-fishing,wife,Single Vehicle Collision,Front Collision,Major Damage,Fire,YES,YES,Y
81,1000,6000000,42400,0,0,3,1,2,4970,4970,34790,1139,Masters,FEMALE,sales,husband,Multi-vehicle Collision,Front Collision,Major Damage,Fire,?,?,Y
280,1000,0,57900,0,0,3,1,2,14120,14120,56480,1397.67,JD,MALE,machine-op-inspct,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Other,YES,NO,N
194,500,0,0,0,3,3,2,2,6150,12300,43050,823.17,Masters,MALE,adm-clerical,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Other,?,NO,N
112,500,0,60000,-54800,21,3,0,1,8500,8500,34000,965.13,Masters,FEMALE,tech-support,unmarried,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,?,?,N
24,1000,0,0,-45200,0,1,2,1,4680,9360,32760,1922.84,High School,FEMALE,machine-op-inspct,wife,Single Vehicle Collision,Side Collision,Total Loss,Police,?,NO,N
93,2000,0,65300,-65600,16,1,1,1,17360,8680,52080,1624.82,PhD,MALE,exec-managerial,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,?,?,N
171,2000,0,84900,0,14,1,1,2,13840,6920,48440,1277.25,College,FEMALE,exec-managerial,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,NO,?,Y
200,1000,0,45300,-20400,9,1,0,0,410,410,2870,1439.34,High School,FEMALE,sales,other-relative,Vehicle Theft,?,Minor Damage,Police,?,NO,N
120,1000,0,68900,0,9,3,0,3,6550,6550,52400,1281.27,PhD,FEMALE,tech-support,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NO,?,N
325,500,0,46300,-77500,21,3,1,2,13840,6920,55360,1348.83,High School,FEMALE,prof-specialty,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,?,YES,N
124,1000,0,0,-43200,19,3,0,2,12260,12260,49040,1198.15,MD,FEMALE,other-service,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Other,NO,YES,N
211,2000,0,76000,0,2,1,0,1,9460,4730,37840,1221.22,Masters,MALE,machine-op-inspct,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Police,YES,?,N
287,2000,0,0,-49000,9,1,2,3,470,940,3760,968.74,Masters,MALE,transport-moving,wife,Vehicle Theft,?,Trivial Damage,None,?,?,N
122,1000,0,58600,-28700,5,1,2,1,1890,1260,5040,1220.71,PhD,MALE,machine-op-inspct,own-child,Parked Car,?,Minor Damage,None,?,YES,N
22,2000,6000000,0,-56200,14,1,2,3,7080,14160,49560,1238.62,MD,MALE,exec-managerial,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,?,?,Y
106,2000,0,54100,0,20,3,0,3,5070,5070,35490,1320.75,JD,FEMALE,farming-fishing,wife,Multi-vehicle Collision,Rear Collision,Total Loss,Police,?,YES,N
398,500,0,0,-57900,18,1,2,1,7640,15280,76400,990.98,Associate,FEMALE,exec-managerial,wife,Single Vehicle Collision,Front Collision,Major Damage,Police,YES,?,Y
214,500,4000000,0,-57100,13,3,2,0,12800,6400,44800,1398.51,Masters,MALE,tech-support,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,?,NO,Y
209,500,0,58100,0,21,1,1,1,4730,4730,37840,1355.08,MD,FEMALE,other-service,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Fire,?,?,N
82,1000,0,13100,-38200,14,1,2,3,8960,8960,53760,1384.51,PhD,MALE,adm-clerical,not-in-family,Single Vehicle Collision,Rear Collision,Major Damage,Other,NO,?,Y
193,500,0,0,0,1,1,1,0,17280,17280,77760,847.03,JD,FEMALE,craft-repair,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Other,?,YES,Y
134,1000,0,0,0,17,1,1,0,7520,15040,60160,1000.06,PhD,FEMALE,farming-fishing,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,?,?,N
288,1000,0,0,0,4,3,2,1,10680,5340,32040,1046.71,Masters,MALE,priv-house-serv,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,?,?,N
104,500,0,31900,-44600,23,3,1,3,9780,9780,44010,1158.03,High School,MALE,exec-managerial,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Police,YES,YES,Y
431,1000,0,17600,0,13,3,2,3,10540,10540,42160,1372.27,Masters,FEMALE,craft-repair,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NO,?,N
101,1000,7000000,52000,-44500,20,3,1,3,9040,9040,36160,1053.04,Masters,FEMALE,other-service,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NO,?,Y
375,1000,0,0,0,16,1,2,3,0,0,37280,1275.39,Associate,MALE,sales,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,YES,NO,Y
